OrderID,CustomerID,EmployeeID,OrderDate,ShipperID,CustomerName,Country,FirstName,LastName,ShipperName
10393,71,1,1996-12-25,3,Save-a-lot Markets ,USA ,Nancy,Davolio,Federal Shipping
10394,36,1,1996-12-25,3,Hungry Coyote Import Store ,USA ,Nancy,Davolio,Federal Shipping
10395,35,6,1996-12-26,1,HILARIÓN-Abastos ,Venezuela ,Michael,Suyama,Speedy Express
10396,25,1,1996-12-27,3,Frankenversand ,Germany ,Nancy,Davolio,Federal Shipping
10397,60,5,1996-12-27,1,Princesa Isabel Vinhoss ,Portugal ,Steven,Buchanan,Speedy Express
10398,71,2,1996-12-30,3,Save-a-lot Markets ,USA ,Andrew,Fuller,Federal Shipping
10399,83,8,1996-12-31,3,Vaffeljernet ,Denmark ,Laura,Callahan,Federal Shipping
10400,19,1,1997-01-01,3,Eastern Connection ,UK ,Nancy,Davolio,Federal Shipping
10401,65,1,1997-01-01,1,Rattlesnake Canyon Grocery ,USA ,Nancy,Davolio,Speedy Express
10402,20,8,1997-01-02,2,Ernst Handel ,Austria ,Laura,Callahan,United Package
10403,20,4,1997-01-03,3,Ernst Handel ,Austria ,Margaret,Peacock,Federal Shipping
10404,49,2,1997-01-03,1,Magazzini Alimentari Riuniti ,Italy ,Andrew,Fuller,Speedy Express
10405,47,1,1997-01-06,1,LINO-Delicateses ,Venezuela ,Nancy,Davolio,Speedy Express
10406,62,7,1997-01-07,1,Queen Cozinha ,Brazil ,Robert,King,Speedy Express
10407,56,2,1997-01-07,2,Ottilies Käseladen ,Germany ,Andrew,Fuller,United Package
10408,23,8,1997-01-08,1,Folies gourmandes ,France ,Laura,Callahan,Speedy Express
10409,54,3,1997-01-09,1,Océano Atlántico Ltda. ,Argentina ,Janet,Leverling,Speedy Express
10410,10,3,1997-01-10,3,Bottom-Dollar Marketse ,Canada ,Janet,Leverling,Federal Shipping
10411,10,9,1997-01-10,3,Bottom-Dollar Marketse ,Canada ,Anne,Dodsworth,Federal Shipping
10412,87,8,1997-01-13,2,Wartian Herkku ,Finland ,Laura,Callahan,United Package
10413,41,3,1997-01-14,2,La maison d'Asie ,France ,Janet,Leverling,United Package
10414,21,2,1997-01-14,3,Familia Arquibaldo ,Brazil ,Andrew,Fuller,Federal Shipping
10415,36,3,1997-01-15,1,Hungry Coyote Import Store ,USA ,Janet,Leverling,Speedy Express
10416,87,8,1997-01-16,3,Wartian Herkku ,Finland ,Laura,Callahan,Federal Shipping
10417,73,4,1997-01-16,3,Simons bistro ,Denmark ,Margaret,Peacock,Federal Shipping
10418,63,4,1997-01-17,1,QUICK-Stop ,Germany ,Margaret,Peacock,Speedy Express
10419,68,4,1997-01-20,2,Richter Supermarkt ,Switzerland ,Margaret,Peacock,United Package
10420,88,3,1997-01-21,1,Wellington Importadora ,Brazil ,Janet,Leverling,Speedy Express
10421,61,8,1997-01-21,1,Que Delícia ,Brazil ,Laura,Callahan,Speedy Express
10422,27,2,1997-01-22,1,Franchi S.p.A. ,Italy ,Andrew,Fuller,Speedy Express
10423,31,6,1997-01-23,3,Gourmet Lanchonetes ,Brazil ,Michael,Suyama,Federal Shipping
10424,51,7,1997-01-23,2,Mère Paillarde ,Canada ,Robert,King,United Package
10425,41,6,1997-01-24,2,La maison d'Asie ,France ,Michael,Suyama,United Package
10426,29,4,1997-01-27,1,Galería del gastrónomo ,Spain ,Margaret,Peacock,Speedy Express
10427,59,4,1997-01-27,2,Piccolo und mehr ,Austria ,Margaret,Peacock,United Package
10428,66,7,1997-01-28,1,Reggiani Caseifici ,Italy ,Robert,King,Speedy Express
10429,37,3,1997-01-29,2,Hungry Owl All-Night Grocers ,Ireland ,Janet,Leverling,United Package
10430,20,4,1997-01-30,1,Ernst Handel ,Austria ,Margaret,Peacock,Speedy Express
10431,10,4,1997-01-30,2,Bottom-Dollar Marketse ,Canada ,Margaret,Peacock,United Package
10432,75,3,1997-01-31,2,Split Rail Beer & Ale ,USA ,Janet,Leverling,United Package
10433,60,3,1997-02-03,3,Princesa Isabel Vinhoss ,Portugal ,Janet,Leverling,Federal Shipping
10434,24,3,1997-02-03,2,Folk och fä HB ,Sweden ,Janet,Leverling,United Package
10435,16,8,1997-02-04,2,Consolidated Holdings ,UK ,Laura,Callahan,United Package
10436,7,3,1997-02-05,2,Blondel père et fils ,France ,Janet,Leverling,United Package
10437,87,8,1997-02-05,1,Wartian Herkku ,Finland ,Laura,Callahan,Speedy Express
10438,79,3,1997-02-06,2,Toms Spezialitäten ,Germany ,Janet,Leverling,United Package
10439,51,6,1997-02-07,3,Mère Paillarde ,Canada ,Michael,Suyama,Federal Shipping
10440,71,4,1997-02-10,2,Save-a-lot Markets ,USA ,Margaret,Peacock,United Package
10441,55,3,1997-02-10,2,Old World Delicatessen ,USA ,Janet,Leverling,United Package
10442,20,3,1997-02-11,2,Ernst Handel ,Austria ,Janet,Leverling,United Package
10443,66,8,1997-02-12,1,Reggiani Caseifici ,Italy ,Laura,Callahan,Speedy Express
